number,name,position,height,weight,class,hometown
0,Derrien King,F,"6' 6""",180 lbs,SO,"Wichita, KS"
1,Renard Suggs,G,"6' 2""",188 lbs,JR,"St. Paul, MN"
2,Ike Iroegbu,G,"6' 2""",195 lbs,JR,"Sacramento, CA"
3,Ny Redding,G,"6' 2""",170 lbs,SO,"Cleveland, OH"
4,Viont'e Daniels,G,"6' 2""",163 lbs,FR,"Federal Way, WA"
15,Junior Longrus,F,"6' 7""",240 lbs,SR,"Oakland, CA"
22,Robert Franks,F,"6' 7""",248 lbs,FR,"Vancouver, WA"
23,Charles Callison,G,"6' 0""",183 lbs,JR,"Moreno Valley, CA"
24,Josh Hawkinson,F,"6' 10""",232 lbs,JR,"Shoreline, WA"
32,Que Johnson,G,"6' 5""",208 lbs,JR,"Pontiac, MI"
33,Brett Boese,F,"6' 7""",230 lbs,SR,"Spokane, WA"
42,Conor Clifford,C,"7' 0""",269 lbs,JR,"Huntington Beach, CA"
45,Valentine Izundu,C,"6' 10""",235 lbs,JR,"Houston, TX"
