number,name,position,height,weight,class,hometown
1,Jerome Robinson,G,"6' 5""",181 lbs,FR,"Raleigh, NC"
2,Darryl Hicks,G,"6' 2""",192 lbs,SO,"Louisville, KY"
3,Eli Carter,G,"6' 2""",200 lbs,SR,"Paterson, NJ"
4,Idy Diallo,F,"6' 11""",253 lbs,FR,"Los Angeles, CA"
5,Garland Owens,F,"6' 5""",225 lbs,JR,"Gaithersburg, MD"
10,Ervins Meznieks,F,"6' 7""",218 lbs,FR,"Riga, Latvia"
11,A.J. Turner,F,"6' 7""",190 lbs,FR,"Mt. Clemens, MI"
12,Johncarlos Reyes,F/C,"6' 10""",216 lbs,FR,"Suwanee, GA"
15,Jordan Barros,G,"5' 10""",150 lbs,FR,"Boston, MA"
20,Steve Perpiglia,G,"5' 10""",165 lbs,SR,"Broomall, PA"
21,Aser Ghebremichael,F,"6' 8""",195 lbs,FR,"Somerville, MA"
22,Matt Milon,G,"6' 4""",200 lbs,FR,"Oviedo, FL"
24,Dennis Clifford,C,"7' 0""",262 lbs,SR,"Bridgewater, MA"
25,Gordon Gehan,G/F,"6' 5""",220 lbs,FR,"Dallas, TX"
55,Sammy Barnes-Thompkins,G,"6' 3""",192 lbs,FR,"Phoenix, AZ"
