number,name,position,height,weight,class,hometown
0,Terrell Thompson,G,"6' 1""",180 lbs,JR,"Indianapolis, IN"
1,Assane Diop,F/C,"6' 8""",217 lbs,JR,"Dakar, Senegal"
2,Jared Savage,G/F,"6' 5""",195 lbs,FR,"Dakar, Senegal"
3,Chris Porter-Bunton,G/F,"6' 5""",217 lbs,FR,"Bowling Green, KY"
4,Josh Robinson,G,"6' 2""",185 lbs,SO,"St. Louis, MO"
5,Chris Horton,F/C,"6' 9""",220 lbs,SR,"Decatur, GA"
10,Tre' Ivory,G,"5' 10""",185 lbs,SO,"Louisville, KY"
11,Khalil Davis,G,"6' 5""",170 lbs,SR,"Kansas City, MO"
12,Adam Pike,G,"6' 1""",160 lbs,FR,"Memphis, TN"
20,Domas Budrys,G,"6' 5""",190 lbs,SO,"Kretinga, Lithuania"
23,Steve Harris,G/F,"6' 4""",180 lbs,FR,"St. Louis, MO"
32,John Murry,G/F,"6' 4""",195 lbs,JR,"Indianapolis, IN"
42,Kenny Jones,F,"6' 6""",180 lbs,JR,"South Bend, IN"
45,Zach Glotta,G,"5' 11""",185 lbs,FR,"O'Fallon, MO"
