number,name,position,height,weight,class,hometown
0,Jacoby Green,G,"6' 4""",175 lbs,SR,"Houston, TX"
1,Jayrn Johnson,G,"6' 3""",180 lbs,SR,"Dallas, TX"
2,Avery Lomax,G,"5' 9""",160 lbs,SR,"Desoto, TX"
3,Jordan Giddings,G,"6' 0""",180 lbs,JR,"Dallas, TX"
4,Dominique Shaw,G,"6' 4""",220 lbs,JR,"Lufkin, TX"
5,Tevin Bellinger,G,"6' 0""",180 lbs,JR,"Hutto, TX"
10,Lavonne Davis,F,"6' 8""",215 lbs,FR,"Cleveland, OH"
12,Malik Amos,G,"6' 2""",170 lbs,FR,"Katy, TX"
13,Xavion Turnage,G,"6' 2""",170 lbs,FR,"Dallas, TX"
14,Zachary Hamilton,F,"6' 4""",200 lbs,SO,"Houston, TX"
15,Nolan Wilson,F,"6' 6""",230 lbs,SO,"Laredo, TX"
21,Tyler Miller,F,"6' 6""",220 lbs,JR,"Milwaukee, WI"
22,Charleston Dobbs,F,"6' 8""",210 lbs,SR,"Dumas, AR"
23,Admassu Williams,F,"6' 8""",240 lbs,JR,"Santa Monica, CA"
24,Jordan Lumpkins,F,"6' 4""",215 lbs,JR,"New Orleans, LA"
25,Ja'Donta Blakely,G,"6' 2""",180 lbs,JR,"Lake Charles, LA"
30,Karim York,F,"6' 9""",225 lbs,SR,"Austin, TX"
31,Austin Allen,F,"6' 6""",180 lbs,FR,"DeSoto, TX"
33,Travis Barnes,F,"6' 8""",220 lbs,JR,"Wilson, NC"
