number,name,position,height,weight,class,hometown
0,Danny Cohen,G,"6' 2""",190 lbs,FR,"Natchitoches, LA"
1,Tevin Broyles,G,"6' 4""",210 lbs,JR,"Gautier, MS"
2,Coleman Edwards,G,"6' 1""",170 lbs,FR,"Sugar Land, TX"
3,Nate Frye,G,"6' 1""",210 lbs,JR,"Houma, LA"
4,Kevin Hill,F,"6' 7""",215 lbs,SR,"Westwego, LA"
5,Christavious Gill,G,"5' 8""",168 lbs,JR,"Alexandria, LA"
11,Michael Zeno,G/F,"6' 6""",215 lbs,SO,"Beaumont, TX"
14,Erik Thomas,F,"6' 5""",215 lbs,JR,"Wesley Chapel, FL"
15,Cameron Reed,G,"6' 5""",195 lbs,FR,"Louisville, KY"
20,Evans Ganapamo,G/F,"6' 5""",195 lbs,JR,"Montpellier, France"
23,Venjie Wallis,G,"6' 4""",170 lbs,FR,"New Orleans, LA"
24,Corey Vinson,G,"6' 1""",170 lbs,FR,"Slidell, LA"
25,Travin Thibodeaux,F,"6' 8""",245 lbs,SO,"Plaquemine, LA"
32,Matthew Jiles,G,"5' 10""",155 lbs,SO,"Braithwaite, LA"
33,Lamine Mbodj,F,"6' 8""",230 lbs,FR,Senegal
45,Travis Avery,C,"6' 8""",215 lbs,SR,"Algiers, LA"
