player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Szabo,F,15,2,3,0,0,0,0,2,3,5,0,0,0,0,4,4,TRUE,2010-02-23,Northeastern,A
G. Washington,F,16,3,4,0,0,0,0,2,2,4,0,0,2,2,4,6,TRUE,2010-02-23,Northeastern,A
C. Jenkins,G,40,7,16,1,6,5,8,0,8,8,7,1,1,9,3,20,TRUE,2010-02-23,Northeastern,A
C. Vines,G,40,4,9,3,6,1,3,0,2,2,3,5,0,3,3,12,TRUE,2010-02-23,Northeastern,A
C. Williams,G,35,4,10,2,4,2,2,2,2,4,3,1,0,1,4,12,TRUE,2010-02-23,Northeastern,A
D. Imes,F,7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2010-02-23,Northeastern,A
N. LesterN,F,13,1,2,0,0,1,2,2,0,2,0,1,0,0,1,3,FALSE,2010-02-23,Northeastern,A
H. Kanacevic,C,34,6,10,1,1,3,4,1,10,11,4,0,1,1,3,16,FALSE,2010-02-23,Northeastern,A
TEAM,NA,NA,27,55,7,17,12,19,11,28,39,17,8,4,16,22,73,FALSE,2010-02-23,Northeastern,A
