number,name,position,height,weight,class,hometown
0,Orlando Brazier,C,"6' 7""",NA,JR,NA
1,Anthony Miles,G,"6' 0""",NA,JR,NA
2,Tremell Adams,G,"6' 2""",NA,JR,NA
3,Tre Lynch,G,"6' 0""",NA,FR,NA
4,Devon Lamb,G,"6' 2""",NA,JR,NA
5,Mike James,G,"6' 1""",NA,JR,NA
10,Brandon Davis,G,"6' 6""",NA,JR,NA
21,Charlie Harper,G,"6' 5""",NA,JR,NA
22,Donley Minor,G,"6' 2""",NA,SO,NA
23,Kendrick Harris,G,"6' 1""",NA,SR,NA
24,Vincenzo Nelson,F,"6' 5""",NA,JR,NA
25,Darius Harris,F,"6' 7""",NA,FR,NA
33,Osas Ebomwonyi,C,"6' 10""",NA,FR,NA
35,Stan Brown,F,"6' 9""",NA,SO,NA
52,Coy Custer,C,"6' 10""",NA,SR,NA
