number,name,position,height,weight,class,hometown
2,Trey Finn,G,"6' 2""",NA,SO,NA
3,Daniel Bryant,G,"5' 10""",NA,JR,NA
5,Jeremy Thomas,F,"6' 5""",NA,SR,NA
10,Adam Sterrenberg,G,"6' 3""",NA,SO,NA
12,Rashad Allison,G,"6' 1""",NA,SR,NA
13,Martavius Adams,F,"6' 8""",NA,JR,NA
15,Brandon Peterson,F,"6' 7""",NA,SO,NA
22,Chano Rashiduddin,F,"6' 9""",NA,JR,NA
23,Donald Boone,G,"6' 4""",NA,SR,NA
24,Edward Townsel,G,"6' 0""",NA,FR,NA
30,Kinley Ogbonnaya-Branch,F,"6' 6""",NA,FR,NA
33,Malcoln Kirkland,F,"6' 8""",NA,JR,NA
