number,name,position,height,weight,class,hometown
0,Dondre Wise,G,"6' 1""",NA,JR,NA
1,Kyryl Natyazhko,C,"6' 10""",NA,SO,NA
2,Daniel Bejarano,G,"6' 4""",NA,FR,NA
3,Kevin Parrom,G,"6' 6""",NA,SO,NA
5,Robert Arvizu,G,"6' 0""",NA,FR,NA
12,Lamont Jones,G,"6' 0""",NA,SO,NA
20,Jordin Mayes,G,"6' 2""",NA,FR,NA
21,Kyle Fogg,G,"6' 3""",NA,JR,NA
23,Derrick Williams,F,"6' 8""",NA,SO,NA
24,Brendon Lavender,G,"6' 5""",NA,JR,NA
33,Jesse Perry,F,"6' 7""",NA,JR,NA
42,Jamelle Horne,F,"6' 7""",NA,SR,NA
44,Solomon Hill,F,"6' 6""",NA,SO,NA
50,Alex Jacobson,C,"7' 0""",NA,JR,NA
52,Max Wiepking,F,"6' 6""",NA,SO,NA
